EventID,OT,Latitude,Longitude,Depth,Magnitude,EvType
235,2015-12-21 15:44:04.800,-4.4,152,162,5.7,earthquake
236,2015-12-22 13:05:10.800,-28.3,-176.4,10,5.2,earthquake
237,2015-12-23 06:43:22.000,49.3,155.6,47.8,5,earthquake
238,2015-12-23 10:08:49.800,-6.9,155.1,34.1,5,earthquake
239,2015-12-23 15:36:53.500,-21,168.3,9.3,5.1,earthquake
240,2015-12-23 16:17:51.600,45.1,-28,10,5,earthquake
241,2015-12-23 16:55:09.900,-54.2,-1.4,10,5.8,earthquake
242,2015-12-23 22:28:18.500,-17.3,-173.7,10,5.3,earthquake
243,2015-12-24 19:44:03.100,-55.8,-123.1,12.3,6.2,earthquake
244,2015-12-24 20:18:42.700,-3.7,151.3,10,5.1,earthquake
245,2015-12-24 23:10:58.200,-7.2,129,119,5.8,earthquake
246,2015-12-25 07:43:50.000,-15.3,167.6,121.4,5.1,earthquake
247,2015-12-25 17:58:05.000,-40.7,-86.4,10,5.8,earthquake
248,2015-12-25 19:14:47.200,36.5,71.1,206,6.3,earthquake
249,2015-12-26 04:43:15.200,-42,84.5,10,5.4,earthquake
250,2015-12-26 05:40:08.000,-36.5,-99.5,10,5.1,earthquake
251,2015-12-27 15:19:49.100,-33,-108.8,10,5.3,earthquake
252,2015-12-28 14:39:27.800,-5.2,152.8,10,5.2,earthquake
253,2015-12-28 16:26:05.000,-3.8,128.4,51,5.2,earthquake
254,2015-12-28 19:24:15.500,-0.5,-20,10,5.1,earthquake
255,2015-12-29 01:51:41.900,-6.3,154.8,28.7,5.8,earthquake
256,2015-12-29 02:54:06.000,6.9,-76.7,5.7,5,earthquake
257,2015-12-30 02:58:36.500,-34.4,-109.4,10,5,earthquake
258,2015-12-30 03:25:35.300,14.2,-91.1,88.4,5,earthquake
259,2015-12-30 11:08:34.700,-21.9,-174.5,32.2,5.1,earthquake
260,2015-12-31 10:56:58.100,11.2,-86.6,20,5.8,earthquake
261,2015-12-31 21:29:38.900,-30.4,-178,27.3,5.4,earthquake
262,2015-12-31 22:23:12.000,-7.2,67.8,10,5,earthquake
263,2016-01-01 02:00:39.900,-50.6,139.4,10,6.3,earthquake
264,2016-01-03 23:05:22.100,24.8,93.7,55,6.7,earthquake
265,2016-01-04 14:36:13.900,19.2,121,12.6,5.2,earthquake
266,2016-01-05 01:58:22.900,15.5,-95.2,35,5,earthquake
267,2016-01-05 02:21:12.600,30.6,132.8,10,5.8,earthquake
268,2016-01-05 05:28:30.200,-6,130.6,130.3,5.2,earthquake
269,2016-01-05 09:34:14.000,-54.3,-136.3,10,6,earthquake
270,2016-01-05 20:36:16.700,10.1,126.2,19.1,5.2,earthquake
271,2016-01-05 21:59:50.200,22,143.7,158.4,5.9,earthquake
272,2016-01-06 01:30:01.500,41.3,129,0,5.1,earthquake
273,2016-01-06 04:58:56.400,-54.5,-136.8,14.5,5.3,earthquake
274,2016-01-06 13:18:55.600,15.4,-95.2,10,5.3,earthquake
275,2016-01-07 02:52:35.700,51.8,-175.4,44.4,5.1,earthquake
276,2016-01-07 10:50:31.900,-1,-16,10,5.1,earthquake
277,2016-01-07 15:40:43.100,-41.7,-74.1,24.1,5,earthquake
278,2016-01-07 20:23:39.800,49.4,155.3,75.6,5.2,earthquake
279,2016-01-08 01:12:01.000,-30.7,-71.7,30.9,5.6,earthquake
280,2016-01-08 02:17:19.400,-13.3,-70.7,10,5,earthquake
281,2016-01-08 09:07:09.500,36.6,70.9,219,5,earthquake
282,2016-01-08 13:29:04.000,-30.8,-13.8,10,5,earthquake
283,2016-01-08 14:45:28.800,-29.1,-111.8,15,5,earthquake
284,2016-01-08 21:54:54.400,18.8,-107.1,31.1,5.3,earthquake
285,2016-01-08 22:21:32.400,-9.4,117.7,88.9,5.4,earthquake
286,2016-01-09 14:12:37.100,27.7,129.7,37.5,5.4,earthquake
287,2016-01-10 12:12:02.400,-57.7,-147.9,4,5.6,earthquake
288,2016-01-10 13:33:34.300,-31.3,-71.8,15.7,5,earthquake
289,2016-01-10 17:10:48.800,-20.8,-178.4,593.4,5,earthquake
290,2016-01-10 17:40:49.500,39.6,34.3,10,5,earthquake
291,2016-01-10 22:07:37.700,-11.6,166.4,67.3,5,earthquake
292,2016-01-11 16:38:07.100,3.9,126.9,20.8,6.5,earthquake
293,2016-01-11 17:08:04.000,44.5,141.1,239.9,6.2,earthquake
294,2016-01-11 22:19:56.300,-23.1,179.1,552.5,5.3,earthquake
295,2016-01-11 23:39:33.600,-7,128,251.3,5.2,earthquake
296,2016-01-12 09:45:11.600,-31.3,58.1,10,5.9,earthquake
297,2016-01-12 12:27:22.500,3.7,127,10,5.2,earthquake
298,2016-01-12 18:02:13.900,-59.2,-25.8,62.9,5,earthquake
299,2016-01-12 20:04:59.700,36.6,71,239,5.7,earthquake
300,2016-01-13 05:47:30.800,0.4,92.3,10,5.1,earthquake
301,2016-01-13 07:52:40.800,12.2,125.6,83,5,earthquake
302,2016-01-13 18:29:12.000,-21.9,-174.5,35,5.2,earthquake
303,2016-01-13 20:34:58.800,32.7,91.6,10,5.2,earthquake
304,2016-01-13 21:37:37.000,38.7,73.2,13.3,5,earthquake
305,2016-01-14 03:25:33.600,42,142.8,46,6.7,earthquake
306,2016-01-14 03:38:18.100,-8.6,122.9,158.2,5.1,earthquake
307,2016-01-14 05:39:39.700,-16.2,-174.1,139.9,5.1,earthquake
308,2016-01-14 11:04:18.000,-15.6,-177.2,10,5.8,earthquake
309,2016-01-14 12:15:29.500,-53.3,159.8,10,5.5,earthquake
310,2016-01-14 13:14:49.200,9.7,126.3,35,5.6,earthquake
311,2016-01-15 00:56:48.000,-62.2,155.8,10,5.1,earthquake
312,2016-01-16 04:35:56.900,-10,123.6,14.1,5,earthquake
313,2016-01-16 09:42:33.400,-37.9,-75.3,10,5.1,earthquake
314,2016-01-16 16:58:00.700,8.9,-84.2,24.9,5.2,earthquake
315,2016-01-16 18:54:33.700,-0.5,99.3,61.7,5.2,earthquake
316,2016-01-16 22:38:06.500,-8.5,156.5,10,5.1,earthquake
317,2016-01-16 23:22:29.000,-3.9,127.2,4.1,5.6,earthquake
318,2016-01-17 08:17:34.700,19.8,-76.1,10,5.1,earthquake
319,2016-01-17 08:30:23.700,19.7,-76.1,10,5.2,earthquake
320,2016-01-17 15:30:03.500,-5.4,130.2,131.8,5.2,earthquake
321,2016-01-17 17:05:38.400,-26.4,-70.9,36.9,5,earthquake
322,2016-01-17 19:25:16.800,-38,77.9,10,5.1,earthquake
323,2016-01-18 03:20:38.800,17.1,-84.6,10,5.4,earthquake
324,2016-01-18 13:43:58.000,-31.3,-178.7,95,5.1,earthquake
325,2016-01-18 18:24:18.400,-21.4,176.1,7,5.8,earthquake
326,2016-01-18 18:45:08.200,-34.6,179.9,75,5,earthquake
327,2016-01-18 19:21:50.200,-0.3,129.5,10,5.2,earthquake
328,2016-01-19 02:02:05.400,2.1,96.7,16.5,5.3,earthquake
329,2016-01-19 03:22:02.400,-6.8,155.2,46.4,5.2,earthquake
330,2016-01-19 16:54:23.800,-22.9,171.5,10,5.3,earthquake
331,2016-01-19 22:04:07.300,1.4,127.3,161,5,earthquake
