id,time,lat,lon,depth,mag,event-type
us20003few,2015-09-01T17:04:14.620,15.3905,-92.7217,104.4,5.4,earthquake
us20003fjq,2015-09-01T23:06:28.760,-19.2237,167.7275,26.5,5,earthquake
us20003fka,2015-09-02T01:13:51.540,14.0422,53.9077,10.0,5.3,earthquake
us20003fkb,2015-09-02T01:18:29.070,4.4132,124.6314,296.0,5.7,earthquake
us20003fmm,2015-09-02T07:20:30.330,14.1344,53.7851,10.0,5,earthquake
us20003fxu,2015-09-03T07:32:46.070,-15.4727,-174.7047,212.1,5.2,earthquake
us20003fyy,2015-09-03T13:24:00.690,2.0551,126.6816,53.0,5.5,earthquake
us20003fyz,2015-09-03T13:37:59.000,-36.8100,-72.5790,60.0,5,earthquake
us20003g09,2015-09-03T16:51:47.750,37.1958,143.4691,10.0,5.4,earthquake
us20003g79,2015-09-04T04:49:22.440,29.2819,130.5968,18.0,5.2,earthquake
us20003g7a,2015-09-04T04:49:38.520,40.9329,47.5328,14.0,5.4,earthquake
us20003g9f,2015-09-04T12:42:05.730,51.5022,-174.9162,44.2,5,earthquake
us20003ghh,2015-09-04T20:08:31.580,-8.0430,107.2248,37.0,5.4,earthquake
us20003gl1,2015-09-05T06:12:29.000,51.4624,-174.4321,20.0,5.1,earthquake
us20003gl8,2015-09-05T06:34:11.450,51.5128,-174.4467,48.0,5.2,earthquake
us20003glc,2015-09-05T07:00:01.410,51.3710,-174.3382,20.0,5.5,earthquake
us20003gle,2015-09-05T07:08:47.000,51.3154,-174.2535,20.1,5,earthquake
us20003gn0,2015-09-05T08:53:20.000,51.3307,-177.5423,19.2,5.3,earthquake
us20003gnv,2015-09-05T10:17:57.000,-37.9080,-73.6090,38.5,5.1,earthquake
us20003gpv,2015-09-05T13:16:08.930,49.3613,155.6819,38.0,5.8,earthquake
us20003gqk,2015-09-05T15:05:45.040,-37.3417,78.1671,10.0,5.3,earthquake
us20003gu0,2015-09-05T22:13:46.750,-25.7802,-64.6856,6.2,5.2,earthquake
us20003gvn,2015-09-06T03:25:50.800,17.0996,147.2691,28.2,5,earthquake
us20003gvy,2015-09-06T04:52:56.930,-25.0332,179.8707,507.9,5.1,earthquake
us20003gww,2015-09-06T07:40:48.650,31.2807,141.8553,10.0,5,earthquake
us20003h1p,2015-09-07T04:23:02.130,-9.7758,160.3480,22.3,5.1,earthquake
us20003h2i,2015-09-07T08:46:09.050,-24.2427,179.1278,535.0,6,earthquake
us20003h2m,2015-09-07T09:13:56.600,-32.8199,-177.8599,17.0,6.3,earthquake
us20003l9h,2015-09-07T09:19:48.990,-32.9578,-178.2310,29.3,5,earthquake
us20003h3x,2015-09-07T14:06:27.810,-32.8265,-178.1980,10.0,5.9,earthquake
us20003h5l,2015-09-07T20:24:59.020,-32.7721,-178.4296,13.9,5.2,earthquake
us20003h6p,2015-09-08T02:50:57.810,-32.7244,-178.4685,10.0,5,earthquake
us20003h78,2015-09-08T06:48:32.870,-33.0304,-178.5336,10.0,5.8,earthquake
us20003h7g,2015-09-08T08:03:53.500,14.3370,-94.1370,5.0,5.7,earthquake
us20003h7j,2015-09-08T08:19:53.790,-33.1147,-178.2046,12.8,5.5,earthquake
us20003h80,2015-09-08T11:37:26.370,-32.7007,-178.3664,16.7,5,earthquake
us20003hgt,2015-09-09T02:35:31.500,-59.5965,-26.1635,35.0,5.2,earthquake
us20003hhr,2015-09-09T05:43:56.830,45.3188,150.4115,64.3,5.2,earthquake
us20003hme,2015-09-09T07:05:44.490,-49.5321,-116.3317,10.0,5.9,earthquake
gcmt20150909081712,2015-09-09T08:17:12.000,-50.2500,-116.2500,10.0,5.2,earthquake
us20003hir,2015-09-09T12:01:47.340,-56.1821,-27.5796,104.6,5,earthquake
us20003hit,2015-09-09T12:41:46.140,2.2936,96.3370,24.5,5.1,earthquake
us20003hmu,2015-09-09T21:03:24.050,36.0086,70.4897,107.4,5.4,earthquake
us20003hq5,2015-09-10T10:26:44.810,52.0985,-169.5349,20.0,6,earthquake
us20003ira,2015-09-11T08:47:21.360,-33.1006,-178.3771,10.0,5,earthquake
us20003iv1,2015-09-11T20:49:07.260,35.5042,139.9064,51.2,5.1,earthquake
us20003iv2,2015-09-11T21:16:13.210,14.5554,-93.8705,29.2,5.2,earthquake
us20003iv3,2015-09-11T21:19:18.660,-5.9797,146.6564,26.0,5.5,earthquake
us20003ivd,2015-09-11T23:51:53.020,-5.9820,146.6932,12.5,5.2,earthquake
us20003iz6,2015-09-12T01:42:01.650,-5.9172,146.5589,20.9,5,earthquake
us20003izx,2015-09-12T08:13:49.130,-31.6610,-68.3557,10.0,5,earthquake
us20003j07,2015-09-12T09:49:27.030,0.0177,124.3731,58.9,5,earthquake
us20003j0v,2015-09-12T13:38:01.860,41.8968,142.6522,49.0,5.4,earthquake
us20003j1a,2015-09-12T16:42:33.770,-25.0180,-177.0249,77.2,5.2,earthquake
us20003j2v,2015-09-12T20:32:26.990,-32.6066,-178.0287,8.0,5.9,earthquake
us20003j36,2015-09-12T22:16:08.130,-6.1236,147.3658,27.0,5.5,earthquake
us20003j3e,2015-09-12T23:39:18.630,-0.7401,122.0540,18.2,5,earthquake
us20003j3s,2015-09-13T01:13:14.640,0.0422,123.4494,143.0,5.4,earthquake
us20003j44,2015-09-13T02:55:46.730,-29.3727,-177.4895,42.3,5.2,earthquake
us20003j4l,2015-09-13T07:40:36.570,24.9056,-109.6985,10.0,5.3,earthquake
us20003j4t,2015-09-13T07:57:33.460,24.8094,-109.5138,10.0,5.6,earthquake
us20003j4u,2015-09-13T08:14:08.560,24.9130,-109.6226,10.0,6.7,earthquake
us20003j54,2015-09-13T08:27:12.440,24.9529,-109.7119,10.0,5.2,earthquake
us20003jae,2015-09-14T14:53:23.420,-32.9675,-178.3587,10.0,5,earthquake
us20003jal,2015-09-14T15:19:33.430,-16.6811,175.9658,31.9,5,earthquake
us20003jqz,2015-09-15T18:26:03.500,-33.1823,-109.4053,13.4,5.1,earthquake
us20003jrj,2015-09-15T19:34:45.820,-14.9800,-172.7698,24.2,5,earthquake
us20003jrf,2015-09-15T19:37:34.830,24.2353,121.8676,15.6,5.3,earthquake
us20003jtk,2015-09-15T21:21:20.930,-20.0288,-70.8032,9.8,5,earthquake
us20003jwc,2015-09-16T07:40:58.690,1.8841,126.4288,41.5,6.3,earthquake
us20003jy9,2015-09-16T13:08:59.120,24.2526,121.8286,16.7,5.2,earthquake
us20003jyz,2015-09-16T14:03:22.110,-6.0114,151.4768,6.0,6.1,earthquake
us10003is5,2015-09-16T14:11:08.580,-5.9650,151.5761,10.0,5,earthquake
us20003jzk,2015-09-16T15:22:24.130,-6.0592,151.5379,10.0,5.3,earthquake
us20003k3u,2015-09-16T19:21:13.260,-6.0709,151.4996,15.9,5.1,earthquake
us20003k7a,2015-09-16T22:54:32.860,-31.5729,-71.6744,22.4,8.3,earthquake
us20003k8b,2015-09-16T22:59:15.000,-31.6180,-71.7450,26.7,6.4,earthquake
us20003k7m,2015-09-16T23:03:56.560,-31.7502,-71.7425,19.1,6.1,earthquake
us20003kdq,2015-09-16T23:09:06.770,-31.1055,-71.4050,37.8,5.6,earthquake
us10003itv,2015-09-16T23:09:26.170,-31.5743,-71.6717,35.0,5.7,earthquake
us10003iua,2015-09-16T23:13:12.340,-30.2269,-71.1970,29.5,5.2,earthquake
us20003k83,2015-09-16T23:16:09.440,-31.6000,-71.9189,35.0,6.1,earthquake
us20003k7w,2015-09-16T23:18:41.850,-31.5622,-71.4262,28.4,7,earthquake
us20003m3n,2015-09-16T23:23:25.660,-31.1674,-71.7720,32.1,5.7,earthquake
us10003it9,2015-09-16T23:28:23.110,-30.7179,-71.8037,20.7,5.5,earthquake
us10003itg,2015-09-16T23:31:32.800,-31.0731,-71.6913,23.6,5.1,earthquake
us10003itb,2015-09-16T23:31:49.790,-29.9883,-71.7953,35.0,5.3,earthquake
us10003itw,2015-09-16T23:32:24.760,-31.4153,-71.8835,19.5,5.2,earthquake
us10003iu8,2015-09-16T23:33:41.200,-31.3748,-71.8137,27.5,5.1,earthquake
us10003ita,2015-09-16T23:36:29.590,-31.7893,-72.2389,11.3,5.3,earthquake
us20003k89,2015-09-16T23:38:01.650,-31.7842,-72.0222,12.5,5.9,earthquake
us10003iu7,2015-09-16T23:41:31.540,-30.4817,-72.1229,16.2,5.3,earthquake
us10003iu6,2015-09-16T23:42:44.840,-31.0485,-71.4853,17.2,5.1,earthquake
us10003itd,2015-09-16T23:48:21.010,-31.4251,-71.8108,10.0,5,earthquake
us10003j3w,2015-09-17T00:00:14.520,-31.7219,-72.0159,10.0,5,earthquake
us20003kah,2015-09-17T00:01:18.920,-31.7494,-72.1254,10.0,5,earthquake
us20003k8w,2015-09-17T00:06:17.440,-30.8817,-71.6993,21.7,5.1,earthquake
us20003k9n,2015-09-17T00:22:20.450,-31.7999,-72.1153,10.0,5.2,earthquake
us10003j3s,2015-09-17T00:34:17.240,-31.4180,-71.8766,12.1,5,earthquake
us20003kag,2015-09-17T00:42:54.640,-30.9073,-71.7026,20.5,5,earthquake
us10003j7p,2015-09-17T00:43:14.060,-31.0870,-71.7617,11.6,5.1,earthquake
us10003j4b,2015-09-17T00:50:12.870,-31.6674,-72.2394,10.0,5,earthquake
us20003kc6,2015-09-17T01:21:48.660,-31.6698,-71.8533,10.0,5.2,earthquake
us10003j7z,2015-09-17T01:22:11.860,-30.4625,-72.0944,35.0,5.1,earthquake
us20003kc5,2015-09-17T01:33:02.640,-31.7363,-72.0265,9.3,5.8,earthquake
us10003j83,2015-09-17T01:39:21.580,-31.5748,-71.7993,32.7,5.1,earthquake
us20003kcn,2015-09-17T01:41:05.870,-31.1043,-71.6504,42.3,6.4,earthquake
us10003j84,2015-09-17T01:46:25.690,-31.9080,-72.0799,10.0,5,earthquake
us10003rd9,2015-09-17T02:21:05.530,-31.9820,-72.8506,10.0,5,earthquake
us20003ke3,2015-09-17T02:59:29.070,-30.9669,-71.5398,35.0,5.5,earthquake
us20003kec,2015-09-17T03:12:42.000,-30.9220,-71.2640,47.1,5.2,earthquake
us20003kfj,2015-09-17T03:55:15.430,-31.4244,-71.6876,27.0,6.5,earthquake
us20003kft,2015-09-17T04:02:10.020,-31.2244,-71.9260,16.0,5.7,earthquake
us10003j4e,2015-09-17T04:05:04.000,-31.4711,-71.7377,18.0,5.1,earthquake
us20003kgd,2015-09-17T04:08:26.560,-30.8130,-71.6796,29.2,5,earthquake
us20003kfv,2015-09-17T04:10:27.780,-31.5173,-71.8040,23.0,6.7,earthquake
us20003kgj,2015-09-17T04:18:31.890,-30.8919,-71.3860,35.0,5.4,earthquake
us20003kgi,2015-09-17T04:26:38.970,-31.4167,-71.9800,17.6,5.5,earthquake
us20003kgq,2015-09-17T04:32:11.370,-30.9660,-72.1317,4.8,5.1,earthquake
us20003kh2,2015-09-17T04:38:08.090,-31.2586,-71.8954,19.8,5.2,earthquake
us20003khm,2015-09-17T05:40:57.740,-31.3875,-71.9551,9.2,5.2,earthquake
us20003khn,2015-09-17T05:44:39.960,-31.8011,-72.1309,10.0,5.5,earthquake
us20003kic,2015-09-17T06:36:34.320,-18.5448,-69.1608,10.7,5.1,earthquake
us20003kjd,2015-09-17T08:58:44.740,53.2985,159.7085,68.1,5.5,earthquake
us20003kk1,2015-09-17T10:31:26.120,-30.9923,-71.4463,38.2,5.2,earthquake
us20003kkt,2015-09-17T12:09:43.950,-32.1351,-72.2117,7.1,5.3,earthquake
us20003kkw,2015-09-17T12:14:34.910,-32.9149,-71.6064,10.0,5.9,earthquake
us20003kl4,2015-09-17T13:32:26.050,-32.1432,-72.3779,10.0,5.9,earthquake
us20003kld,2015-09-17T14:19:15.970,-30.9102,-71.9829,10.0,5.7,earthquake
us20003klt,2015-09-17T16:08:35.460,-30.8916,-71.4020,35.0,5.3,earthquake
us20003kmd,2015-09-17T16:52:17.920,-29.7643,-72.0860,10.0,5.3,earthquake
us20003kx6,2015-09-17T20:24:35.480,-32.3271,-71.9254,16.4,5,earthquake
us20003kwk,2015-09-17T20:40:31.750,-29.9614,-71.8851,5.7,5.5,earthquake
us20003l02,2015-09-17T22:39:20.370,-31.0310,-71.8056,23.2,5.2,earthquake
us20003l0y,2015-09-17T23:55:00.710,-31.8294,-72.3019,10.0,5.1,earthquake
us20003l3e,2015-09-18T04:24:02.080,-31.3611,-72.0302,5.7,5,earthquake
us20003l55,2015-09-18T08:18:17.860,-32.2292,-72.3678,6.0,5.6,earthquake
us20003l5d,2015-09-18T09:10:44.730,-32.3681,-72.2292,8.0,6.2,earthquake
us20003l83,2015-09-18T13:51:17.000,-31.4390,-71.8070,30.1,5.2,earthquake
us20003lc6,2015-09-18T15:59:42.640,15.2767,-45.9886,10.0,6,earthquake
us20003lnf,2015-09-19T00:28:04.310,-22.0982,169.9667,23.8,5,earthquake
us20003lnl,2015-09-19T00:48:34.410,3.5558,126.9805,29.0,5.1,earthquake
us20003lpz,2015-09-19T04:33:48.160,-30.3796,-72.7513,10.0,5,earthquake
us20003lql,2015-09-19T05:06:47.500,-29.6411,-72.0770,6.0,6.1,earthquake
us20003lqx,2015-09-19T05:36:02.390,-6.0125,151.5015,47.0,5.1,earthquake
us20003ls4,2015-09-19T08:31:24.620,-30.1004,-72.2316,8.0,5.4,earthquake
us20003ls7,2015-09-19T08:34:35.590,-6.0845,151.3690,5.7,5.3,earthquake
us20003lsq,2015-09-19T09:07:09.550,-31.0999,-71.5902,28.0,5.7,earthquake
us20003luw,2015-09-19T12:52:20.920,-32.3335,-72.0629,18.0,6.2,earthquake
us20003lv1,2015-09-19T13:08:57.760,-30.5256,-72.1984,10.0,5.6,earthquake
us20003m30,2015-09-20T03:02:02.010,-30.8468,-71.4623,45.5,5,earthquake
us20003m40,2015-09-20T06:07:01.150,-31.6769,-72.1565,13.1,5.1,earthquake
us20003m5c,2015-09-20T09:02:32.500,-30.2379,-72.2743,8.6,5.1,earthquake
us20003m80,2015-09-20T17:18:28.570,-30.6249,-71.6818,35.0,5,earthquake
us20003mcj,2015-09-21T05:39:34.910,-31.5757,-71.7431,30.0,6.1,earthquake
us20003mf0,2015-09-21T11:36:07.720,-57.3074,147.7187,8.6,5,earthquake
us20003mgp,2015-09-21T15:37:08.040,-31.0239,-71.7936,25.6,5.4,earthquake
us20003mi0,2015-09-21T17:40:00.060,-31.7275,-71.3792,35.0,6.6,earthquake
us20003mis,2015-09-21T18:36:53.520,-31.0458,-71.8200,26.9,5.5,earthquake
us20003miv,2015-09-21T18:46:27.980,-2.5907,138.7013,8.8,5,earthquake
us20003mjn,2015-09-21T19:56:08.690,-31.7819,-71.6407,28.4,5.6,earthquake
us20003mkd,2015-09-21T20:26:22.510,-19.4860,-173.3185,10.0,5.1,earthquake
us20003mn8,2015-09-21T23:05:58.030,-5.9857,151.4085,10.0,5,earthquake
us20003mr8,2015-09-22T04:03:14.730,13.0875,51.1230,10.0,5.2,earthquake
us20003msd,2015-09-22T07:13:00.520,-31.4441,-71.2653,58.0,6,earthquake
us20003mtd,2015-09-22T09:22:32.440,-15.9668,168.1307,228.9,5.3,earthquake
us20003nam,2015-09-23T11:32:40.250,-31.6191,-71.9505,10.0,5,earthquake
us20003ncu,2015-09-23T16:18:37.930,-5.9788,103.5743,11.3,5.4,earthquake
gcmt20150923161928,2015-09-23T16:19:28.000,-28.7500,74.2500,10.0,5,earthquake
us20003nf0,2015-09-23T18:47:51.350,-38.2664,176.1333,181.2,5,earthquake
us20003nmz,2015-09-24T13:48:58.480,50.7832,-130.2084,10.0,5.7,earthquake
us20003nqr,2015-09-24T15:53:27.740,-0.6212,131.2622,18.0,6.6,earthquake
us20003nr6,2015-09-24T15:56:56.170,-10.1917,160.5201,25.5,5.8,earthquake
us20003nr5,2015-09-24T15:57:19.530,-36.1551,-100.9621,10.1,5.2,earthquake
us20003nrd,2015-09-24T16:13:25.740,-30.7302,-71.3766,41.0,5.2,earthquake
us20003nzc,2015-09-25T08:47:47.000,1.2844,122.6907,6.6,5,earthquake
gcmt20150925163712,2015-09-25T16:37:12.000,-57.2500,-141.7500,10.0,5.1,earthquake
us20003p94,2015-09-25T22:58:40.260,16.9923,145.8960,16.0,5.2,earthquake
us20003p9y,2015-09-26T02:51:18.830,-30.8148,-71.3217,46.0,6.3,earthquake
us20003p9z,2015-09-26T03:03:20.490,-30.7349,-71.5729,29.0,5,earthquake
us20003pa4,2015-09-26T03:20:47.600,-20.9551,169.0128,15.3,5.4,earthquake
us20003pat,2015-09-26T08:28:11.980,-5.7030,68.3485,10.0,5,earthquake
