w,EqGPStime,lat,lon,depth,Mag
178,2016-01-12 18:02:49.900000,-59.2,-25.8,62.9,5.0
179,2015-10-12 08:05:37.600000,-40.6,176.3,22.0,5.6
180,2015-10-12 07:24:01.800000,11.9,57.8,10.0,5.2
181,2015-11-16 00:40:09.500000,17.8,-81.8,6.7,5.8
182,2015-11-07 13:45:20.700000,35.9,140.0,107.5,5.0
183,2015-12-22 13:05:46.800000,-28.3,-176.4,10.0,5.2
184,2015-12-19 19:25:41.500000,-30.6,-71.3,47.6,5.8
185,2015-11-17 08:34:16.800000,38.6,20.6,9.0,5.1
186,2015-10-14 05:43:44.300000,48.9,156.2,12.0,6.0
187,2016-01-08 13:29:40,-30.8,-13.8,10.0,5.0
188,2015-11-07 19:40:49.500000,16.5,119.8,37.0,5.5
189,2015-12-21 15:44:40.800000,-4.4,152.0,162.0,5.7
190,2015-12-25 19:15:23.200000,36.5,71.1,206.0,6.3
191,2015-11-09 06:12:51.700000,6.5,94.9,23.3,5.3
192,2015-12-25 17:58:41,-40.7,-86.4,10.0,5.8
193,2016-01-05 09:34:50,-54.3,-136.3,10.0,6.0
194,2015-11-25 04:47:26.800000,31.4,140.1,124.7,5.0
195,2015-11-09 08:13:25.600000,6.4,94.8,35.0,5.5
196,2015-12-24 23:11:34.200000,-7.2,129.0,119.0,5.8
197,2015-09-18 09:11:20.700000,-32.4,-72.2,8.0,6.2
198,2015-11-16 16:49:49.700000,48.3,154.2,34.0,5.9
199,2015-11-16 16:13:44.700000,-24.8,-176.0,35.0,5.0
200,2016-01-08 09:07:45.500000,36.6,70.9,219.0,5.0
201,2015-12-19 02:11:29.300000,-18.4,169.4,10.0,6.0
202,2015-12-07 22:54:11.100000,14.2,-90.9,84.0,5.7
203,2015-11-18 10:37:32.700000,-4.7,103.6,114.0,5.0
204,2016-01-13 21:38:13,38.7,73.2,13.3,5.0
205,2016-01-16 16:58:36.700000,8.9,-84.2,24.9,5.2
206,2016-01-10 12:12:38.400000,-57.7,-147.9,4.0,5.6
207,2016-01-07 02:53:11.700000,51.8,-175.4,44.4,5.1
208,2015-12-20 09:29:27.500000,12.9,124.4,107.8,5.2
209,2015-10-11 13:32:38.900000,46.7,152.5,64.2,5.0
210,2015-11-09 04:47:03.700000,-23.6,-69.0,99.2,5.3
211,2015-12-18 22:17:32.500000,29.4,81.7,10.0,5.4
212,2015-10-26 13:12:34.800000,-18.0,-178.4,562.9,5.1
213,2015-09-13 07:41:12.600000,24.9,-109.7,10.0,5.3
214,2015-11-18 12:16:14,38.8,20.6,10.0,5.0
215,2015-09-21 05:40:10.900000,-31.6,-71.7,30.0,6.1
216,2015-11-07 22:54:30.400000,1.6,126.6,37.1,5.2
217,2015-10-10 09:04:37,-8.0,107.4,35.0,5.2
218,2016-01-12 12:27:58.500000,3.7,127.0,10.0,5.2
219,2016-01-13 20:35:34.800000,32.7,91.6,10.0,5.2
220,2015-10-26 14:39:34.300000,-18.0,-69.5,115.7,5.0
221,2015-12-15 17:09:01.100000,-56.4,-25.8,12.9,5.1
222,2015-12-17 12:44:39.200000,17.8,120.6,70.0,5.3
223,2015-11-16 11:05:04.600000,-26.5,67.8,10.0,5.0
224,2015-11-02 16:37:23.700000,-7.0,129.7,109.6,5.2
225,2016-01-19 22:04:43.300000,1.4,127.3,161.0,5.0
226,2015-10-12 10:04:52,34.3,98.2,11.4,5.1
227,2015-11-09 13:58:12.400000,-7.0,150.8,7.6,5.1
228,2015-11-24 13:22:11.800000,18.8,145.3,586.2,6.0
229,2015-11-02 08:31:51.300000,51.6,-173.3,10.0,5.3
230,2015-12-01 06:14:19.400000,41.4,73.3,40.8,5.1
231,2015-11-07 20:58:27.800000,-10.2,111.2,10.0,5.0
232,2016-01-08 14:46:04.800000,-29.1,-111.8,15.0,5.0
233,2015-11-12 17:29:15.100000,51.5,-175.1,39.4,5.2
234,2016-01-12 20:05:35.700000,36.6,71.0,239.0,5.7
235,2016-01-16 09:43:09.400000,-37.9,-75.3,10.0,5.1
236,2015-09-17 05:45:16,-31.8,-72.1,10.0,5.5
237,2015-12-18 11:47:24.300000,-1.3,-15.8,10.0,5.4
238,2015-12-08 18:35:55.400000,1.0,127.5,10.0,5.0
239,2015-09-16 07:41:34.700000,1.9,126.4,41.6,6.3
240,2015-11-01 03:49:23.500000,41.6,142.0,47.0,5.4
241,2015-12-01 07:26:50.100000,-31.6,-71.5,40.2,5.0
242,2015-10-12 04:36:16.800000,7.5,-77.5,10.0,5.2
243,2015-11-20 05:34:34.200000,26.3,142.7,10.0,5.1
244,2016-01-10 13:34:10.300000,-31.3,-71.8,15.7,5.0
245,2015-11-09 23:54:50.400000,51.4,-172.9,44.4,5.0
246,2015-12-15 17:49:26.200000,-56.4,-25.7,20.1,5.0
247,2015-12-19 04:28:08.800000,2.1,-84.4,29.6,5.0
248,2015-12-08 12:56:43.400000,-30.8,-71.8,25.0,5.6
249,2015-11-02 13:41:12.200000,32.1,69.6,44.7,5.0
250,2015-10-12 03:32:08.300000,-31.2,-71.8,19.6,5.0
251,2015-11-11 06:27:09.700000,-9.1,-108.6,10.0,5.6
252,2015-12-03 08:33:22.100000,-29.8,-71.7,34.8,5.2
