w,EqGPStime,lat,lon,depth,Mag
357,2015-12-15 17:09:01.100000,-56.4,-25.8,12.9,5.1
358,2015-12-15 17:49:26.200000,-56.4,-25.7,20.1,5.0
359,2015-09-27 02:56:49.700000,-7.2,129.6,107.0,5.5
360,2015-11-22 21:03:19.100000,38.0,100.3,12.9,5.1
361,2015-10-18 18:18:01.200000,-16.1,-173.4,10.0,5.1
362,2015-11-21 23:06:06.700000,-30.6,-71.8,27.0,5.8
363,2015-12-11 03:21:24.800000,-5.0,103.0,48.3,5.1
364,2015-10-23 22:03:58.800000,-2.2,138.3,8.0,5.8
365,2015-09-28 15:28:41.800000,-23.8,-66.6,219.0,5.9
366,2015-10-23 19:55:32,-53.8,-3.8,10.0,5.0
367,2015-09-26 03:21:23.600000,-21.0,169.0,15.3,5.4
368,2015-11-19 18:16:10.200000,-24.6,-175.9,10.0,5.1
369,2015-09-15 21:21:56.900000,-20.0,-70.8,9.8,5.0
370,2015-11-03 01:11:20,13.4,146.0,26.0,5.1
371,2015-11-03 00:07:08.300000,24.7,122.0,10.0,5.0
372,2015-09-21 18:37:29.500000,-31.0,-71.8,26.9,5.5
373,2015-09-21 18:47:04,-2.6,138.7,8.8,5.0
374,2015-12-12 15:09:34,-35.0,-71.9,37.9,5.0
375,2015-09-26 08:28:48,-5.7,68.3,10.0,5.0
376,2016-01-12 12:27:58.500000,3.7,127.0,10.0,5.2
377,2015-11-11 11:45:59.900000,-8.9,110.2,83.0,5.5
378,2015-12-10 12:05:50.700000,-58.9,-23.9,10.0,5.7
379,2015-10-30 06:59:33.300000,12.5,125.7,71.7,5.0
380,2015-11-11 16:12:23.300000,22.0,144.9,58.9,5.3
381,2016-01-13 18:29:48,-21.9,-174.5,35.0,5.2
382,2015-09-17 06:37:10.300000,-18.5,-69.2,10.7,5.1
383,2015-09-15 19:38:10.800000,24.2,121.9,15.6,5.3
384,2015-12-08 18:35:55.400000,1.0,127.5,10.0,5.0
385,2015-09-17 10:32:02.100000,-31.0,-71.4,38.2,5.2
386,2015-09-27 21:05:21,-31.7,-71.7,36.9,5.4
387,2015-12-10 00:10:08.800000,-35.9,-73.3,10.0,5.5
388,2015-11-22 20:39:07.500000,8.5,-71.4,10.0,5.1
389,2015-09-29 15:02:49.900000,17.8,-102.3,19.8,5.0
390,2015-10-19 02:18:13.100000,24.8,122.0,10.0,5.3
391,2015-12-10 02:05:19.700000,-4.2,129.5,30.2,5.2
392,2015-12-10 18:56:07.900000,-5.4,129.4,254.4,5.0
